project,category,signal,covered_by,verified_value
pennylane-qiskit,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
pennylane-qiskit,Identity & access infrastructure,mfa_on_channel_admins,,
pennylane-qiskit,Identity & access infrastructure,channel_admin_transfer,,
pennylane-qiskit,Communication channels,official_channel_statement,,
pennylane-qiskit,Communication channels,impersonation_reporting,,
pennylane-qiskit,Knowledge infrastructure,disclosure_depth,,
pennylane-qiskit,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
pennylane-qiskit,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
pennylane-qiskit,Distribution metadata,provenance_attestation,SLSA; Sigstore,
precice,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
precice,Identity & access infrastructure,mfa_on_channel_admins,,
precice,Identity & access infrastructure,channel_admin_transfer,,
precice,Communication channels,official_channel_statement,,
precice,Communication channels,impersonation_reporting,,
precice,Knowledge infrastructure,disclosure_depth,,
precice,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
precice,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
precice,Distribution metadata,provenance_attestation,SLSA; Sigstore,
qibo,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
qibo,Identity & access infrastructure,mfa_on_channel_admins,,
qibo,Identity & access infrastructure,channel_admin_transfer,,
qibo,Communication channels,official_channel_statement,,
qibo,Communication channels,impersonation_reporting,,
qibo,Knowledge infrastructure,disclosure_depth,,
qibo,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
qibo,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
qibo,Distribution metadata,provenance_attestation,SLSA; Sigstore,
qiskit-aer,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
qiskit-aer,Identity & access infrastructure,mfa_on_channel_admins,,
qiskit-aer,Identity & access infrastructure,channel_admin_transfer,,
qiskit-aer,Communication channels,official_channel_statement,,
qiskit-aer,Communication channels,impersonation_reporting,,
qiskit-aer,Knowledge infrastructure,disclosure_depth,,
qiskit-aer,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
qiskit-aer,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
qiskit-aer,Distribution metadata,provenance_attestation,SLSA; Sigstore,
qiskit-machine-learning,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
qiskit-machine-learning,Identity & access infrastructure,mfa_on_channel_admins,,
qiskit-machine-learning,Identity & access infrastructure,channel_admin_transfer,,
qiskit-machine-learning,Communication channels,official_channel_statement,,
qiskit-machine-learning,Communication channels,impersonation_reporting,,
qiskit-machine-learning,Knowledge infrastructure,disclosure_depth,,
qiskit-machine-learning,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
qiskit-machine-learning,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
qiskit-machine-learning,Distribution metadata,provenance_attestation,SLSA; Sigstore,
qiskit,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
qiskit,Identity & access infrastructure,mfa_on_channel_admins,,
qiskit,Identity & access infrastructure,channel_admin_transfer,,
qiskit,Communication channels,official_channel_statement,,
qiskit,Communication channels,impersonation_reporting,,
qiskit,Knowledge infrastructure,disclosure_depth,,
qiskit,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
qiskit,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
qiskit,Distribution metadata,provenance_attestation,SLSA; Sigstore,
qutip,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
qutip,Identity & access infrastructure,mfa_on_channel_admins,,
qutip,Identity & access infrastructure,channel_admin_transfer,,
qutip,Communication channels,official_channel_statement,,
qutip,Communication channels,impersonation_reporting,,
qutip,Knowledge infrastructure,disclosure_depth,,
qutip,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
qutip,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
qutip,Distribution metadata,provenance_attestation,SLSA; Sigstore,
rsmpi,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
rsmpi,Identity & access infrastructure,mfa_on_channel_admins,,
rsmpi,Identity & access infrastructure,channel_admin_transfer,,
rsmpi,Communication channels,official_channel_statement,,
rsmpi,Communication channels,impersonation_reporting,,
rsmpi,Knowledge infrastructure,disclosure_depth,,
rsmpi,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
rsmpi,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
rsmpi,Distribution metadata,provenance_attestation,SLSA; Sigstore,
rustworkx,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
rustworkx,Identity & access infrastructure,mfa_on_channel_admins,,
rustworkx,Identity & access infrastructure,channel_admin_transfer,,
rustworkx,Communication channels,official_channel_statement,,
rustworkx,Communication channels,impersonation_reporting,,
rustworkx,Knowledge infrastructure,disclosure_depth,,
rustworkx,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
rustworkx,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
rustworkx,Distribution metadata,provenance_attestation,SLSA; Sigstore,
taskflow,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
taskflow,Identity & access infrastructure,mfa_on_channel_admins,,
taskflow,Identity & access infrastructure,channel_admin_transfer,,
taskflow,Communication channels,official_channel_statement,,
taskflow,Communication channels,impersonation_reporting,,
taskflow,Knowledge infrastructure,disclosure_depth,,
taskflow,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
taskflow,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
taskflow,Distribution metadata,provenance_attestation,SLSA; Sigstore,
